,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Type,Garage Finish,Garage Cars,Paved Drive
493,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,TA,TA,No,Unf,Unf,0.0,0.0,1,1,3,1,TA,6,1,Detchd,Unf,1.0,Y
494,1Story,Hip,CompShg,HdBoard,HdBoard,CBlock,TA,TA,Av,ALQ,Unf,1.0,0.0,1,0,2,1,Gd,4,1,Attchd,RFn,2.0,Y
495,1.5Fin,Gable,CompShg,AsbShng,AsbShng,CBlock,TA,TA,No,Unf,Unf,0.0,0.0,1,0,2,1,TA,6,0,Detchd,Unf,1.0,N
496,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,BLQ,Unf,0.0,1.0,1,0,3,1,TA,5,0,Attchd,Unf,1.0,Y
497,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,TA,No,Unf,Unf,0.0,0.0,1,0,3,1,TA,6,0,Detchd,Unf,1.0,Y
498,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,No,Unf,Unf,0.0,0.0,2,0,3,1,Ex,7,1,Attchd,RFn,3.0,Y
500,2Story,Hip,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,GLQ,Rec,0.0,1.0,1,1,4,1,Gd,7,0,Attchd,Unf,2.0,Y
501,1Story,Gable,CompShg,VinylSd,VinylSd,BrkTil,TA,TA,No,Unf,Unf,0.0,0.0,1,1,1,1,TA,4,0,Detchd,Unf,1.0,Y
502,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,2,1,3,1,Gd,7,1,Attchd,Fin,2.0,Y
503,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,Fa,TA,No,Unf,Unf,0.0,0.0,1,0,2,1,TA,4,0,Detchd,Unf,2.0,Y
504,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Gd,GLQ,Unf,1.0,0.0,2,0,2,1,Gd,7,1,Attchd,Fin,3.0,Y
505,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,2,1,3,1,TA,7,1,Attchd,RFn,2.0,Y
506,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,GLQ,Unf,1.0,0.0,2,0,3,1,Gd,7,0,Attchd,RFn,2.0,Y
507,2Story,Gable,CompShg,VinylSd,VinylSd,CBlock,TA,TA,Gd,BLQ,LwQ,0.0,0.0,1,1,4,1,TA,7,1,Attchd,RFn,2.0,Y
508,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,Rec,BLQ,0.0,0.0,1,0,3,1,TA,5,1,Detchd,Unf,1.0,Y
509,2Story,Hip,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Av,GLQ,Unf,1.0,0.0,2,1,3,1,Ex,11,1,Attchd,Fin,3.0,Y
510,2Story,Gable,CompShg,Wd Sdng,Stucco,BrkTil,TA,TA,No,ALQ,Unf,1.0,0.0,1,0,3,1,Gd,6,2,Detchd,Unf,1.0,Y
511,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,0,2,1,Gd,7,1,Attchd,RFn,3.0,Y
512,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,2,0,3,1,Gd,6,0,Attchd,RFn,2.0,Y
513,1Story,Gable,CompShg,MetalSd,MetalSd,PConc,TA,TA,No,LwQ,Rec,1.0,0.0,1,0,1,1,TA,6,1,Detchd,Unf,1.0,Y
515,1.5Fin,Gable,CompShg,HdBoard,HdBoard,PConc,Gd,Gd,No,GLQ,LwQ,0.0,0.0,2,1,4,1,Gd,9,0,Attchd,Unf,3.0,Y
516,2Story,Gable,CompShg,MetalSd,MetalSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,1,3,1,Gd,8,1,Attchd,Fin,2.0,Y
517,1Story,Hip,CompShg,MetalSd,MetalSd,PConc,Ex,TA,Gd,Unf,Unf,0.0,0.0,2,0,3,1,Ex,8,1,Attchd,Fin,3.0,Y
518,2Story,Gable,CompShg,Plywood,Plywood,CBlock,TA,Fa,No,BLQ,Unf,1.0,0.0,2,0,4,1,TA,8,0,Attchd,Unf,1.0,Y
519,2Story,Gable,CompShg,BrkFace,MetalSd,PConc,Gd,TA,Mn,BLQ,GLQ,1.0,0.0,2,1,2,1,Ex,7,1,Attchd,Fin,2.0,Y
520,2Story,Hip,CompShg,CemntBd,CmentBd,PConc,Fa,TA,No,Unf,Unf,0.0,0.0,2,0,5,1,TA,8,0,Detchd,Unf,2.0,Y
521,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,Unf,Unf,0.0,0.0,1,0,2,1,TA,4,0,Attchd,Unf,1.0,N
522,2Story,Gable,CompShg,HdBoard,HdBoard,PConc,Gd,TA,Av,LwQ,Unf,0.0,0.0,2,1,3,1,TA,9,1,Attchd,Fin,3.0,Y
523,1.5Fin,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,Unf,Unf,0.0,0.0,1,0,4,1,TA,6,1,Detchd,Unf,1.0,Y
524,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,TA,TA,No,ALQ,Unf,1.0,0.0,1,0,3,1,TA,5,0,Attchd,RFn,1.0,Y
525,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,Fa,TA,No,ALQ,Unf,1.0,0.0,1,0,4,1,TA,7,0,Detchd,Unf,1.0,Y
526,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Gd,GLQ,Unf,1.0,0.0,2,0,2,1,Ex,7,1,Attchd,Fin,3.0,Y
527,2Story,Gable,CompShg,VinylSd,VinylSd,CBlock,Fa,TA,No,Unf,Unf,0.0,0.0,1,0,3,1,TA,6,0,Detchd,Unf,2.0,Y
528,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,Rec,LwQ,1.0,0.0,2,0,3,1,TA,6,1,Attchd,RFn,1.0,Y
529,2Story,Gable,CompShg,CemntBd,CmentBd,PConc,Ex,TA,Gd,GLQ,Unf,1.0,0.0,2,1,3,1,Ex,10,1,BuiltIn,RFn,3.0,Y
531,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,No,GLQ,Unf,1.0,0.0,2,0,2,1,Gd,6,0,Attchd,Fin,2.0,Y
532,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,BLQ,Unf,0.0,0.0,2,0,3,1,TA,7,1,Attchd,Unf,2.0,Y
533,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,Rec,Unf,0.0,0.0,1,0,3,1,TA,6,2,Detchd,Unf,1.0,Y
534,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,Rec,Unf,1.0,0.0,2,0,6,2,TA,10,0,Detchd,Unf,2.0,Y
535,1Story,Hip,CompShg,BrkFace,BrkFace,CBlock,TA,TA,No,Rec,Unf,0.0,0.0,1,0,3,1,TA,5,0,Attchd,Fin,1.0,Y
536,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Gd,Unf,Unf,0.0,0.0,2,1,3,1,Gd,7,0,Attchd,RFn,2.0,Y
537,1Story,Hip,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,BLQ,Unf,0.0,0.0,1,0,3,1,TA,5,0,Attchd,Unf,1.0,Y
538,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,Unf,Unf,0.0,0.0,2,1,3,1,Gd,6,0,Attchd,RFn,2.0,Y
539,1.5Fin,Hip,CompShg,VinylSd,VinylSd,CBlock,TA,Fa,No,Unf,Unf,0.0,0.0,1,0,2,1,Gd,5,0,Attchd,Unf,1.0,Y
540,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,GLQ,Unf,1.0,0.0,2,0,2,1,Gd,6,0,Attchd,RFn,2.0,Y
541,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Av,GLQ,Unf,1.0,0.0,1,1,1,1,Gd,5,1,Attchd,RFn,2.0,Y
543,2Story,Gable,CompShg,HdBoard,HdBoard,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,1,4,1,Gd,9,1,Attchd,RFn,2.0,Y
544,2Story,Gable,CompShg,MetalSd,MetalSd,PConc,TA,TA,No,Unf,Unf,0.0,0.0,2,1,4,1,TA,7,0,Detchd,Unf,2.0,N
545,1Story,Gable,CompShg,Plywood,Plywood,CBlock,TA,TA,No,ALQ,BLQ,0.0,0.0,2,0,4,1,Gd,8,1,Attchd,Unf,2.0,Y
546,1Story,Hip,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,Rec,Unf,1.0,0.0,1,0,3,1,TA,5,0,Attchd,RFn,1.0,Y
547,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkTil,Gd,TA,No,Unf,Unf,0.0,0.0,1,0,3,1,TA,7,0,Detchd,Unf,1.0,Y
548,1.5Fin,Gable,CompShg,VinylSd,VinylSd,PConc,TA,TA,No,Unf,Unf,0.0,0.0,1,0,3,1,TA,5,0,Detchd,Unf,1.0,N
549,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,Rec,Unf,1.0,0.0,1,0,2,1,TA,5,0,Detchd,Unf,1.0,Y
550,1.5Fin,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,Rec,Unf,0.0,0.0,1,0,2,1,TA,6,0,Detchd,Unf,1.0,Y
551,1.5Fin,Gable,CompShg,WdShing,Wd Shng,BrkTil,TA,TA,No,Unf,Unf,0.0,0.0,1,0,3,1,TA,5,1,BuiltIn,RFn,1.0,Y
552,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,GLQ,Unf,1.0,0.0,2,0,3,1,Gd,7,0,Attchd,RFn,2.0,Y
553,1Story,Hip,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,BLQ,Rec,1.0,0.0,1,0,3,1,TA,6,0,Attchd,RFn,1.0,Y
554,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,Unf,Unf,0.0,0.0,1,0,3,1,TA,5,0,Detchd,Unf,4.0,Y
556,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,2,0,3,1,Gd,6,0,Attchd,Fin,2.0,Y
557,1Story,Gable,CompShg,HdBoard,HdBoard,PConc,TA,TA,No,Unf,Unf,0.0,0.0,1,0,3,1,TA,6,0,Attchd,Unf,1.0,Y
558,2Story,Gambrel,CompShg,MetalSd,MetalSd,BrkTil,Gd,TA,No,Unf,Unf,0.0,0.0,1,1,3,1,Gd,9,2,Detchd,Unf,1.0,Y
559,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Mn,GLQ,Unf,1.0,0.0,1,0,1,1,Gd,3,1,Attchd,RFn,2.0,Y
560,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,Av,Unf,Unf,1.0,0.0,1,0,5,1,TA,8,2,Attchd,Unf,1.0,Y
561,SLvl,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,GLQ,Rec,0.0,1.0,1,0,3,1,Gd,7,1,Basment,RFn,2.0,Y
563,2Story,Gable,CompShg,Plywood,Plywood,PConc,Gd,TA,No,GLQ,Unf,0.0,1.0,2,1,4,1,TA,8,1,Attchd,Unf,2.0,Y
564,1Story,Gable,CompShg,MetalSd,MetalSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,0,2,1,Gd,5,0,Attchd,Fin,2.0,Y
565,SLvl,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,Gd,Rec,ALQ,1.0,0.0,1,1,3,1,TA,6,0,Attchd,RFn,2.0,Y
566,SLvl,Gable,CompShg,VinylSd,VinylSd,CBlock,TA,TA,Av,LwQ,ALQ,1.0,0.0,1,0,3,1,TA,6,2,Attchd,RFn,2.0,Y
567,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,0.0,0.0,2,0,3,1,Gd,7,0,Attchd,RFn,2.0,Y
568,2Story,Gable,CompShg,HdBoard,HdBoard,CBlock,Gd,TA,Mn,Unf,Unf,0.0,0.0,2,1,3,1,TA,7,1,Attchd,Unf,2.0,Y
569,1.5Fin,Gable,CompShg,MetalSd,MetalSd,PConc,TA,TA,No,BLQ,Unf,0.0,1.0,1,0,2,1,TA,6,0,Detchd,Unf,1.0,Y
570,SFoyer,Gable,CompShg,HdBoard,Wd Shng,CBlock,Gd,TA,Av,GLQ,Unf,1.0,0.0,2,0,2,1,Gd,5,1,BuiltIn,RFn,2.0,Y
571,2Story,Gable,CompShg,MetalSd,MetalSd,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,2,1,2,1,Gd,5,0,Detchd,Unf,2.0,Y
572,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,Rec,Unf,0.0,0.0,2,0,3,1,TA,6,1,Detchd,Unf,2.0,P
573,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,TA,Gd,No,LwQ,Unf,0.0,1.0,1,1,3,1,Ex,6,1,Detchd,Unf,2.0,Y
574,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,0.0,0.0,2,1,3,1,TA,6,1,Attchd,Fin,2.0,Y
575,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,GLQ,Unf,1.0,0.0,1,0,1,1,Gd,4,0,Attchd,Fin,2.0,Y
576,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,TA,TA,Av,ALQ,Unf,0.0,0.0,1,0,2,1,TA,5,0,Detchd,Unf,1.0,Y
577,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,1,1,3,1,TA,6,0,Attchd,Unf,2.0,Y
578,1Story,Gable,CompShg,CemntBd,CmentBd,PConc,Gd,TA,Av,GLQ,Unf,1.0,0.0,2,0,2,1,Ex,6,0,Attchd,RFn,2.0,Y
582,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,0,2,1,Gd,6,1,Attchd,RFn,2.0,Y
583,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,Ex,TA,No,GLQ,Unf,1.0,0.0,2,0,2,1,TA,5,0,Attchd,Unf,2.0,Y
584,1.5Fin,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,Unf,Unf,0.0,0.0,2,0,4,1,Gd,6,0,Detchd,Unf,1.0,Y
585,2Story,Gable,CompShg,MetalSd,MetalSd,PConc,Gd,TA,No,BLQ,Unf,1.0,0.0,2,1,2,1,Gd,4,0,Detchd,Unf,2.0,Y
586,SFoyer,Gable,CompShg,HdBoard,Wd Shng,PConc,Gd,TA,Av,GLQ,LwQ,1.0,0.0,1,0,2,1,TA,5,1,Detchd,Unf,2.0,Y
587,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,BLQ,Unf,1.0,0.0,1,0,3,1,TA,5,0,Attchd,RFn,1.0,Y
588,2Story,Gable,CompShg,Stucco,Stucco,BrkTil,TA,TA,No,Unf,Unf,0.0,0.0,2,0,3,1,TA,9,0,Detchd,Unf,2.0,Y
589,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,2,0,3,1,Gd,8,1,Attchd,Fin,2.0,Y
590,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,Rec,Unf,1.0,0.0,1,0,2,1,TA,6,1,Attchd,Fin,1.0,Y
591,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,1,1,1,1,Gd,4,0,Attchd,Fin,2.0,Y
592,1Story,Gable,CompShg,Plywood,Plywood,CBlock,Gd,TA,No,ALQ,Unf,0.0,1.0,2,0,2,1,TA,6,1,Attchd,RFn,2.0,Y
593,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,BLQ,Rec,0.0,1.0,1,0,3,1,Gd,7,2,Attchd,Unf,2.0,Y
594,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,GLQ,Unf,1.0,0.0,2,0,3,1,Gd,7,0,Attchd,RFn,2.0,Y
595,2Story,Hip,CompShg,HdBoard,HdBoard,PConc,Gd,TA,No,GLQ,Unf,0.0,0.0,1,2,4,1,Gd,8,2,Attchd,RFn,2.0,Y
596,1Story,Gable,CompShg,MetalSd,MetalSd,PConc,Ex,TA,Av,GLQ,Unf,1.0,0.0,2,0,2,1,Gd,5,1,Attchd,Fin,2.0,Y
597,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,0,3,1,Gd,7,0,Attchd,RFn,2.0,Y
598,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,GLQ,Unf,1.0,0.0,2,0,2,1,Gd,5,0,Attchd,RFn,3.0,Y
599,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,TA,TA,No,ALQ,Unf,1.0,0.0,1,1,2,1,Gd,6,0,2Types,Unf,3.0,N
600,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,2,0,3,1,Gd,6,1,Attchd,Unf,2.0,Y
601,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,2,1,3,1,Gd,7,0,Attchd,RFn,2.0,Y
602,1Story,Hip,CompShg,MetalSd,MetalSd,CBlock,TA,TA,Mn,BLQ,Unf,1.0,0.0,1,0,2,1,TA,5,2,Attchd,Unf,1.0,Y
603,1Story,Hip,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,BLQ,Unf,0.0,0.0,1,0,2,1,TA,6,1,Detchd,Unf,2.0,Y
604,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,Gd,TA,No,GLQ,Unf,1.0,0.0,2,0,2,1,TA,5,1,Attchd,RFn,2.0,Y
605,1Story,Hip,CompShg,HdBoard,Plywood,CBlock,TA,TA,No,BLQ,Unf,0.0,1.0,2,0,3,1,TA,6,1,Attchd,RFn,2.0,Y
606,2Story,Hip,CompShg,HdBoard,HdBoard,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,1,4,1,Gd,10,1,Attchd,Unf,2.0,Y
607,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,GLQ,Unf,1.0,0.0,2,0,3,1,Gd,7,0,Attchd,RFn,2.0,Y
608,1Story,Gable,CompShg,Stone,Stone,PConc,TA,TA,No,ALQ,GLQ,0.0,0.0,1,0,2,1,Ex,6,1,Attchd,Fin,2.0,Y
609,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,Gd,No,Unf,Unf,0.0,0.0,2,1,3,1,Gd,9,1,Attchd,RFn,3.0,Y
610,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,GLQ,Unf,1.0,0.0,1,0,3,1,TA,6,0,Detchd,Unf,2.0,Y
611,2Story,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,Unf,Unf,0.0,0.0,1,1,4,1,TA,7,1,Attchd,Unf,2.0,Y
613,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,0.0,1.0,2,1,3,1,Gd,8,1,2Types,RFn,4.0,Y
614,SLvl,Gable,CompShg,Plywood,VinylSd,CBlock,TA,Ex,Av,ALQ,Unf,0.0,0.0,2,0,3,1,TA,6,1,Detchd,Unf,2.0,Y
615,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,0.0,0.0,2,0,3,1,Gd,6,0,Attchd,RFn,2.0,Y
617,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,2,0,2,1,Gd,5,0,Detchd,Unf,2.0,Y
618,1Story,Gable,CompShg,BrkFace,BrkFace,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,1,1,1,1,Ex,4,2,Attchd,Fin,2.0,Y
619,1.5Unf,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,TA,No,Unf,Unf,0.0,0.0,1,0,3,1,TA,6,0,Detchd,Unf,1.0,Y
620,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Gd,GLQ,Unf,1.0,0.0,2,0,3,1,Gd,7,2,Attchd,Fin,3.0,Y
621,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Gd,GLQ,Unf,1.0,0.0,2,0,3,1,Gd,8,1,Attchd,Fin,3.0,Y
622,1Story,Hip,CompShg,CemntBd,CmentBd,PConc,Ex,TA,Gd,GLQ,Unf,1.0,0.0,2,0,3,1,Ex,7,1,Attchd,Fin,3.0,Y
623,1Story,Hip,CompShg,CemntBd,CmentBd,PConc,Ex,TA,Gd,GLQ,Unf,1.0,0.0,2,1,2,1,Ex,8,1,Attchd,Fin,3.0,Y
624,1.5Fin,Gable,CompShg,VinylSd,VinylSd,CBlock,Fa,TA,Mn,Unf,Unf,0.0,0.0,1,0,3,1,TA,5,0,Attchd,Unf,1.0,Y
625,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,0.0,0.0,2,0,2,1,Gd,4,0,Attchd,Fin,2.0,Y
626,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Mn,Unf,Unf,0.0,0.0,2,1,3,1,Gd,8,1,Attchd,Unf,3.0,Y
627,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,Unf,Unf,0.0,0.0,2,1,3,1,Gd,8,0,Attchd,Fin,2.0,Y
628,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,Rec,Unf,0.0,0.0,1,1,3,1,TA,7,1,Attchd,RFn,2.0,Y
629,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,BLQ,Unf,0.0,0.0,1,1,4,1,TA,6,0,Attchd,Unf,1.0,Y
630,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,0.0,0.0,2,1,3,1,Gd,8,1,Attchd,RFn,2.0,Y
631,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,GLQ,Unf,0.0,0.0,2,1,3,1,Gd,6,0,Attchd,RFn,2.0,Y
632,1Story,Hip,CompShg,Plywood,Plywood,CBlock,Gd,TA,No,GLQ,Rec,1.0,0.0,2,0,3,1,Gd,7,2,Attchd,Fin,2.0,Y
633,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,ALQ,Unf,1.0,0.0,1,0,3,1,TA,5,0,Detchd,Unf,1.0,Y
634,1Story,Gable,CompShg,Plywood,Brk Cmn,CBlock,Gd,TA,No,Unf,Unf,0.0,0.0,1,0,2,1,TA,4,0,Attchd,Unf,1.0,Y
637,1Story,Gable,CompShg,CemntBd,CmentBd,PConc,Ex,TA,Mn,GLQ,Unf,1.0,0.0,2,1,2,1,Ex,7,1,Attchd,Fin,3.0,Y
638,2Story,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,BLQ,Unf,0.0,0.0,2,0,4,2,TA,8,0,2Types,Unf,3.0,Y
639,1.5Fin,Gable,CompShg,VinylSd,VinylSd,CBlock,TA,TA,No,BLQ,Unf,0.0,1.0,1,1,3,1,Gd,8,2,Attchd,Unf,2.0,Y
640,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,GLQ,Unf,1.0,0.0,2,0,2,1,Gd,6,1,Attchd,Fin,2.0,Y
641,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,1,3,1,Gd,8,0,BuiltIn,RFn,2.0,Y
643,2Story,Gable,CompShg,MetalSd,MetalSd,BrkTil,Fa,TA,No,Unf,Unf,0.0,0.0,1,0,2,1,TA,6,0,Detchd,Unf,1.0,N
644,2Story,Gable,CompShg,VinylSd,VinylSd,BrkTil,Fa,TA,No,Unf,Unf,0.0,0.0,2,0,3,1,Gd,7,0,Detchd,Unf,2.0,N
645,2Story,Hip,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Mn,GLQ,Unf,1.0,0.0,3,1,4,1,Ex,10,1,BuiltIn,Fin,3.0,Y
646,1Story,Gable,Tar&Grv,VinylSd,VinylSd,PConc,Gd,TA,Gd,BLQ,Rec,0.0,0.0,2,0,3,1,Gd,6,0,Attchd,RFn,3.0,Y
647,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,0.0,0.0,2,0,3,1,Gd,6,1,Attchd,RFn,2.0,Y
648,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,1,3,1,Gd,6,0,Attchd,RFn,2.0,Y
649,2Story,Gable,CompShg,Stucco,BrkFace,BrkTil,Fa,Gd,Mn,Unf,Unf,0.0,0.0,2,0,3,1,Ex,8,0,Detchd,Unf,1.0,Y
650,1Story,Gable,CompShg,Plywood,Plywood,CBlock,Fa,TA,Gd,ALQ,Unf,1.0,0.0,1,0,2,1,TA,5,0,Attchd,RFn,2.0,Y
651,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,Gd,TA,Av,ALQ,LwQ,1.0,0.0,1,0,2,1,TA,6,1,Attchd,RFn,2.0,Y
652,1Story,Gable,CompShg,WdShing,Stucco,PConc,TA,TA,No,LwQ,Unf,0.0,0.0,1,0,2,1,Gd,4,1,Detchd,Unf,1.0,P
654,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,TA,TA,No,ALQ,Unf,1.0,0.0,1,0,3,1,TA,5,0,Attchd,Unf,2.0,Y
655,1Story,Hip,CompShg,MetalSd,MetalSd,CBlock,Gd,TA,No,Rec,ALQ,1.0,0.0,1,0,3,1,TA,5,0,Detchd,Unf,2.0,Y
656,2Story,Gable,CompShg,AsbShng,Stucco,BrkTil,TA,Fa,No,Unf,Unf,1.0,0.0,2,0,4,2,TA,8,0,2Types,Unf,3.0,N
657,SLvl,Gable,CompShg,Plywood,Plywood,CBlock,TA,TA,Av,ALQ,Unf,1.0,0.0,1,0,3,1,TA,6,1,Attchd,Fin,1.0,Y
658,1.5Fin,Gable,CompShg,VinylSd,VinylSd,CBlock,TA,TA,No,BLQ,Unf,0.0,0.0,1,0,3,1,TA,6,0,Attchd,Unf,1.0,Y
659,1Story,Hip,CompShg,BrkFace,Plywood,CBlock,TA,TA,No,BLQ,Unf,1.0,0.0,1,0,3,1,TA,6,0,Attchd,Unf,1.0,Y
660,2Story,Hip,CompShg,Stucco,Wd Shng,PConc,TA,TA,No,Unf,Unf,0.0,0.0,1,0,3,1,Gd,7,1,Detchd,Unf,1.0,Y
661,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Mn,GLQ,Unf,1.0,0.0,2,1,3,1,Gd,7,1,BuiltIn,Fin,3.0,Y
