,MS SubClass,MS Zoning,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,Land Contour,Land Slope,Street,Lot Shape
244,1 Storey 1945 older,Residential Medium Density,Inside,OldTown,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
245,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Mod,Pave,IR1
246,2 Storey PUD,Residential Low Density,Inside,StoneBr,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
247,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
248,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
250,2 Storey 1946 Newer,Residential Low Density,CulDSac,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
251,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
252,2 Storey 1946 Older,Residential Low Density,Inside,BrkSide,RRAn,Feedr,1Fam,Bnk,Mod,Pave,IR1
253,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
254,1 Storey Newer All,Residential Low Density,FR2,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
255,1.5 Finished,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
257,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
258,Family Conversion,Residential Low Density,Corner,OldTown,Artery,Artery,2fmCon,Bnk,Mod,Pave,IR1
259,1.5 Finished,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
261,1 Storey 1945 older,Residential Low Density,Corner,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
262,1 Storey Newer All,Residential Low Density,Corner,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
263,1 Storey Newer All,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Bnk,Mod,Pave,Reg
265,1 Storey PUD,Residential Low Density,Inside,SawyerW,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
266,1 Storey Newer All,Residential Low Density,Corner,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
267,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
268,2 Storey 1946 Newer,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
269,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
270,2 Storey 1946 Newer,Residential Low Density,Corner,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
271,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
272,2 Storey 1946 Newer,Residential Low Density,Corner,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
273,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
274,1 Storey Newer All,Residential Low Density,CulDSac,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
275,Split,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
277,1 Storey PUD,Residential Low Density,Inside,Blmngtn,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
278,2 Storey PUD,Residential Medium Density,Inside,Blueste,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
279,1 Storey Newer All,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
280,1 Storey 1945 older,Residential Low Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
281,1 Storey PUD,Residential Low Density,Inside,NridgHt,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
282,2 Storey PUD,Residential Low Density,FR2,NPkVill,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
283,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
284,Split,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
285,1 Storey Newer All,Residential Low Density,Corner,ClearCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
286,1 Storey Newer All,Residential Low Density,Corner,Timber,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
287,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
288,2 Storey 1946 Newer,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
289,Duplex All,Residential Medium Density,Inside,Mitchel,Norm,Norm,Duplex,Lvl,Gtl,Pave,Reg
290,Duplex All,Residential Low Density,Corner,Mitchel,Norm,Norm,Duplex,Lvl,Gtl,Pave,IR1
291,1.5 Finished,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
292,Split,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
293,1 Storey PUD,Residential Medium Density,Inside,CollgCr,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
294,1 Storey PUD,Residential Low Density,FR2,NPkVill,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
295,1 Storey PUD,Residential Low Density,Inside,ClearCr,Norm,Norm,1Fam,HLS,Gtl,Pave,Reg
296,1 Storey 1945 older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
297,PUD Multi,Residential Medium Density,Inside,MeadowV,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
298,1.5 Finished,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Bnk,Gtl,Pave,Reg
299,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
300,1 Storey PUD,Residential Low Density,CulDSac,Veenker,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR2
301,1.5 Finished,Residential Medium Density,Inside,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
302,2 Storey 1946 Older,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Bnk,Gtl,Pave,Reg
303,Split,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Bnk,Mod,Pave,Reg
304,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
305,1 Storey Newer All,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
306,1 Storey Newer All,Residential High Density,Inside,SawyerW,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
307,1.5 Finished,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
308,2.5 Story All,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
309,1 Storey PUD,Residential Low Density,CulDSac,StoneBr,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
310,1 Storey Newer All,Residential Low Density,CulDSac,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
311,2 Storey 1946 Newer,Residential Low Density,CulDSac,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
312,1.5 Finished,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
313,2 Storey 1946 Newer,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
314,1 Storey Newer All,Residential Low Density,CulDSac,Sawyer,RRAe,Norm,1Fam,Lvl,Gtl,Pave,IR1
315,2 Storey PUD,Residential Medium Density,Inside,MeadowV,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
316,1 Storey PUD,Residential Low Density,Inside,NridgHt,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
317,2 Storey 1946 Newer,Residential Low Density,CulDSac,StoneBr,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
318,1 Storey Newer All,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
319,2 Storey 1946 Newer,Residential Low Density,Inside,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
320,1.5 Finished,Residential Medium Density,Inside,OldTown,Feedr,Norm,1Fam,Lvl,Gtl,Pave,IR1
321,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
322,1 Storey Newer All,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
323,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
324,1 Storey Newer All,Residential Low Density,Corner,NAmes,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
325,2 Storey 1946 Older,Residential Low Density,Corner,SWISU,Norm,Norm,1Fam,HLS,Gtl,Pave,Reg
326,Duplex All,Residential Low Density,Inside,NWAmes,Feedr,Norm,Duplex,Lvl,Gtl,Pave,IR1
327,1 Storey PUD,Residential Low Density,Inside,NPkVill,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
328,1 Storey Newer All,Residential Low Density,Inside,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
329,1 Storey Newer All,Residential Low Density,Corner,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
330,1.5 Finished,Residential Low Density,Corner,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
331,Split,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
332,2 Storey 1946 Newer,Residential Low Density,Inside,NridgHt,PosN,Norm,1Fam,Lvl,Gtl,Pave,Reg
333,2.5 Story All,Residential Low Density,Inside,BrkSide,PosN,Norm,1Fam,Bnk,Gtl,Pave,IR1
335,2 Storey 1946 Newer,Residential Low Density,FR2,Gilbert,RRNn,Norm,1Fam,Lvl,Gtl,Pave,IR1
336,1.5 Finished,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
337,Family Conversion,Residential Low Density,Inside,Mitchel,Norm,Norm,2fmCon,Low,Mod,Pave,Reg
338,2 Storey 1946 Newer,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
339,1 Storey PUD,Residential Low Density,Inside,StoneBr,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
340,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
341,2 Storey 1946 Older,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
342,2 Storey PUD,Residential Medium Density,Inside,BrDale,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
343,Family Conversion,Residential Low Density,Inside,NAmes,Norm,Norm,2fmCon,Lvl,Gtl,Pave,Reg
344,2 Storey PUD,Residential Medium Density,Inside,Edwards,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
345,2 Storey 1946 Newer,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
346,Split,Residential Low Density,CulDSac,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
347,2 Storey 1946 Newer,Residential Low Density,Inside,NWAmes,RRAn,Norm,1Fam,Lvl,Gtl,Pave,Reg
348,1 Storey Newer All,Residential Low Density,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
349,2 Storey 1946 Newer,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
350,1.5 Finished,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
351,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
352,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
353,1.5 Finished,Residential Low Density,Inside,NAmes,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
354,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
355,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
357,1.5 Finished,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
358,1 Storey Newer All,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
359,1 Storey Newer All,Residential Low Density,Inside,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
360,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
361,2 Storey 1946 Newer,Residential Low Density,CulDSac,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
362,1 Storey 1945 older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
363,1.5 Finished,Residential High Density,Inside,SWISU,Norm,Norm,1Fam,Bnk,Gtl,Pave,IR2
364,1 Storey Newer All,Residential Low Density,Inside,Somerst,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
365,1.5 Finished,Residential Low Density,Corner,NAmes,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
366,Split Foyer,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
367,1.5 Finished,Residential Low Density,Corner,SWISU,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
368,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
369,2 Storey 1946 Newer,Residential Low Density,Corner,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
370,Split,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
371,2 Storey 1946 Older,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
372,1 Storey Newer All,Residential Low Density,Inside,Sawyer,RRAe,Norm,1Fam,Lvl,Gtl,Pave,IR1
373,Split,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
374,2 Storey 1946 Older,Residential Medium Density,Corner,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
375,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Sev,Pave,Reg
376,Split,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
377,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
378,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
379,2.5 Story All,Residential Medium Density,Inside,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
380,1 Storey Newer All,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
381,2 Storey 1946 Newer,Residential Low Density,Corner,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
383,1.5 Unfinished,Residential Low Density,Corner,NAmes,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
384,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
385,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
386,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Low,Gtl,Pave,Reg
387,1 Storey Newer All,Residential Low Density,Corner,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
388,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
389,Split,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
391,1 Storey Newer All,Residential Low Density,Corner,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
392,2 Storey 1946 Newer,Residential Low Density,Corner,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
393,Split,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
394,Family Conversion,Residential Medium Density,Inside,OldTown,Norm,Norm,2fmCon,Lvl,Gtl,Pave,Reg
395,2 Storey PUD,Residential Medium Density,Inside,BrDale,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
396,1.5 Finished,Residential Low Density,Inside,SWISU,Norm,Norm,1Fam,Bnk,Mod,Pave,IR1
397,1 Storey Newer All,Residential Low Density,Inside,NWAmes,RRAn,Norm,1Fam,Lvl,Gtl,Pave,Reg
398,2 Storey 1946 Newer,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
399,1 Storey Newer All,Residential Low Density,Inside,NAmes,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
400,Duplex All,Residential Low Density,Inside,SawyerW,Feedr,Norm,Duplex,Bnk,Gtl,Pave,Reg
401,2 Storey 1946 Older,Residential High Density,Inside,Edwards,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
402,1 Storey Newer All,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
403,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
404,2 Storey 1946 Newer,Residential Low Density,Corner,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
405,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
407,Family Conversion,Residential Medium Density,Inside,OldTown,Norm,Norm,2fmCon,Lvl,Gtl,Pave,Reg
408,2 Storey 1946 Older,C (all),Inside,IDOTRR,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
410,1 Storey 1945 older,C (all),Corner,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Grvl,Reg
411,1 Storey Newer All,Residential Low Density,Corner,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
412,1 Storey 1945 older,Residential Medium Density,Inside,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
413,1.5 Finished,Residential Low Density,Inside,SWISU,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
414,1 Storey Newer All,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
415,2 Storey 1946 Older,Residential Low Density,Inside,Sawyer,Feedr,Norm,1Fam,Bnk,Gtl,Pave,Reg
416,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Low,Mod,Pave,IR1
417,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
418,1 Storey Newer All,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
419,2 Storey 1946 Older,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
420,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
421,1 Storey Newer All,Residential Low Density,Inside,SawyerW,RRAe,Norm,1Fam,Lvl,Gtl,Pave,Reg
422,1 Storey Newer All,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
423,1.5 Finished,Residential Low Density,Corner,SWISU,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
424,Family Conversion,Residential Low Density,Inside,NAmes,RRAn,Norm,2fmCon,Lvl,Gtl,Pave,Reg
425,2.5 Story All,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
427,Split,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
428,2 Storey 1946 Newer,Residential Low Density,CulDSac,Gilbert,RRNn,Norm,1Fam,Lvl,Gtl,Pave,IR2
429,1 Storey PUD,Residential Low Density,Inside,StoneBr,Norm,Norm,TwnhsE,HLS,Gtl,Pave,IR1
430,2 Storey PUD,Floating Village Residential,FR2,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR2
431,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
432,1 Storey 1945 older,Residential Low Density,Inside,SWISU,Norm,Norm,1Fam,Bnk,Gtl,Pave,Reg
433,Split Foyer,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
434,2 Storey 1946 Newer,Residential Low Density,CulDSac,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
435,1 Storey Newer All,Residential Low Density,Corner,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
436,Family Conversion,Residential High Density,Corner,SWISU,Feedr,Norm,2fmCon,Bnk,Gtl,Pave,Reg
438,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
439,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
440,1 Storey Newer All,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
441,Family Conversion,Residential Low Density,FR2,Gilbert,Norm,Norm,2fmCon,Lvl,Gtl,Pave,IR1
442,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
443,1 Storey 1945 older,Residential Low Density,Corner,SWISU,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
444,2 Storey 1946 Newer,Residential Low Density,CulDSac,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
446,1 Storey Newer All,Residential Low Density,Inside,NWAmes,PosA,Norm,1Fam,Lvl,Gtl,Pave,IR1
447,2 Storey 1946 Newer,Residential Low Density,Corner,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
448,2 Storey 1946 Newer,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
449,2 Storey 1946 Newer,Residential Low Density,FR2,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
450,Split Foyer,Residential Low Density,Inside,NAmes,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
451,1 Storey Newer All,Residential Low Density,Corner,Somerst,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
452,Split Foyer,Residential Low Density,CulDSac,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
453,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
454,2 Storey PUD,Floating Village Residential,FR2,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
455,1.5 Finished,Residential Medium Density,Inside,IDOTRR,Norm,Norm,1Fam,Bnk,Gtl,Pave,Reg
456,1.5 Finished,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,HLS,Mod,Pave,Reg
458,1 Storey PUD,Residential Low Density,Inside,StoneBr,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
459,1.5 Finished,Residential Low Density,Inside,SWISU,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
460,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
461,1 Storey Newer All,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
462,1 Storey 1945 older,Residential Low Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
463,1 Storey PUD,Residential Medium Density,Inside,GrnHill,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
464,1 Storey Newer All,Residential Medium Density,Inside,OldTown,Artery,Norm,1Fam,Bnk,Gtl,Pave,Reg
465,2 Storey 1946 Newer,Residential Low Density,Inside,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
466,2 Storey 1946 Newer,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
467,1.5 Finished,Residential Low Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
468,2 Storey 1946 Older,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Lvl,Mod,Pave,IR1
469,2 Storey 1946 Newer,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
470,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
471,1.5 Finished,Residential Low Density,CulDSac,ClearCr,Norm,Norm,1Fam,Low,Sev,Pave,IR2
472,1.5 Finished,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
473,1 Storey Newer All,Residential Low Density,Corner,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
474,1.5 Finished,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
475,1 Storey Newer All,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
476,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
477,2 Storey PUD,Residential Medium Density,Inside,BrDale,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
478,2 Storey 1946 Newer,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
479,2 Storey 1946 Newer,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
480,1 Storey Newer All,Residential Low Density,Inside,StoneBr,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
481,2 Storey 1946 Newer,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
482,2 Storey 1946 Newer,Residential Low Density,Inside,ClearCr,Norm,Norm,1Fam,Low,Gtl,Pave,IR1
483,1 Storey Newer All,Residential Low Density,FR3,CollgCr,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
484,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
487,1 Storey 1945 older,Residential Medium Density,Inside,OldTown,Artery,Norm,1Fam,Bnk,Gtl,Pave,IR3
488,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
489,2 Storey 1946 Newer,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
